I’ll give him anything he wants!                           ,Eu vou dar a ele qualquer coisa que ele quiser!
“He’s a good man; God bless him;” she said.                ,“Ele é um bom homem; Deus o abençoe”; ela disse.
Then she went to the chimney                               ,Então ela foi até a chaminé
where the couple’s savings were kept hidden.               ,onde as economias do casal eram mantidas (ficavam) escondidas.
She took out two pieces of gold and five pieces of silver  ,Ela pegou/retirou duas moedas de ouro e cinco moedas de prata
which in those days was a lot of money.                    ,o que naqueles dias era muito dinheiro.
She handed everything over to the old soldier              ,Ela entregou tudo para o velho soldado
and told him to hurry up and give it to her first husband. ,e falou para ele se apressar e dar (isso) para seu primeiro marido.
“I will;” Jack told the woman                              ,“Eu vou”; Jack falou para a mulher                                  
“as soon as I return to Heaven.”                           ,“assim que eu retornar ao céu”.
