Jack looked up at the pale blue sky                   ,Jack olhou para o céu azul claro
and he said; “I came from Heaven;                     ,e ele disse; “eu vim do céu”
My goodness!”; she said                               ,“Meu Deus!”; ela disse
Did you see my husband there?                         ,Você viu meu marido lá?
The farmer’s wife was talking about her first husband ,A esposa do fazendeiro estava falando sobre o primeiro marido dela
the man who had died                                  ,o homem que tinha morrido
Oh yes; I got to know him well                        ,Ah sim; eu conheci ele bem
when I was staying in Heaven;” said Jack              ,quando eu estava ficando/passando um tempo no céu”; disse Jack
“And how is he doing?”; asked the woman               ,“E como ele está?”; perguntou a mulher
“He is fine;” replied the old soldier                 ,“Ele está bem; respondeu o velho soldado
