In those days;there also lived an old soldier called Jack Hannaford.        ,Naqueles dias existia(vivia)também um velho soldado chamado JackHannaford.            ,001
His coat was old and he was poor.                                           ,Seu casaco era velho e ele era pobre.                                                 ,002
but nobody thought that Jack Hannaford was stupid.                          ,Mas ninguém pensava que Jack Hannaford era estúpido/burro/bobo.                       ,003
He was sly like a fox.                                                      ,Ele era astuto/malicioso como uma raposa.                                             ,004
When he left the army.                                                      ,Quando ele deixou o exército.                                                         ,005
he walked all around the country.                                           ,ele caminhou por todo o país.                                                         ,006
looking for ways to play his tricks.                                        ,procurando por maneiras de “jogar seus truques” (fazer suas artimanhas).              ,007
After he had traveled for some time.                                        ,Depois que ele tinha viajado por algum tempo.                                         ,008
he came across the farm belonging to the pair.                              ,ele deu de cara com a fazenda que pertencia ao par (ao casal).                        ,009
He knocked on the door of the house.                                        ,Ele bateu na porta da casa.                                                           ,010
and a moment later; the wife answered.                                      ,E “um momento depois” (pouco depois) a esposa respondeu.                              ,011
She looked him up and down; quite astonished.                               ,Ela olhou ele de cima a baixo muito surpresa.                                         ,012
because few strangers were able to make the difficult journey to theirhome. ,Porque poucos desconhecidos eram capazes de fazer a difícil jornada até a casa deles. ,013
“Where did you come from?” she asked.                                       ,De onde você veio ela perguntou.                                                      ,014
